"scenario","model","LY_High","LY_Low","LY_no_screening_High","LY_no_screening_Low","LY_no_pandemic_High","LY_no_pandemic_Low","n_crc_dth_High","n_crc_dth_Low","n_oc_dth_High","n_oc_dth_Low","n_crc_dth_no_screening_High","n_crc_dth_no_screening_Low","n_oc_dth_no_screening_High","n_oc_dth_no_screening_Low","n_crc_dth_no_pandemic_High","n_crc_dth_no_pandemic_Low","n_oc_dth_no_pandemic_High","n_oc_dth_no_pandemic_Low","LYG_no_pandemic_High","LYG_no_pandemic_Low","LYG_screening_High","LYG_screening_Low","LY_lost_pandemic_High","LY_lost_pandemic_Low","perc_LYG_loss_High","perc_LYG_loss_Low"
"U50 | C3m","CRCSPIN",31891.689277115,31867.4529348769,31594.6732261217,31594.6732261217,31893.26467713,31867.299842706,5.7873,8.0502,994.1994,991.9375,30.376,30.376,969.624,969.624,5.7969,8.1686,994.1892,991.818,298.591451008298,272.626616584315,297.016050993319,272.779708755133,1.5754000149791,-0.153092170818127,0.527610556048811,-0.0561545210574771
"U50 | F9m","MISCAN",31413.4039316526,31395.6388054353,31155.5167967565,31155.5167967565,31415.8212609098,31398.3952949948,10.0870942486407,11.8019743391561,968.175376792176,966.558587082138,32.317577415831,32.317577415831,946.958327402869,946.958327402869,10.1847842602174,11.8379074479225,968.102609744618,966.542972695041,260.304464153283,242.878498238297,257.887134896104,240.122008678805,2.41732925717952,2.75648955949146,0.928654552676455,1.13492531429726
"U50 | F18m","CRCSPIN",31858.3580299072,31837.1546342421,31594.6732261217,31594.6732261217,31865.5363291998,31843.2284192559,8.183,10.2738,991.8066,989.7163,30.376,30.376,969.624,969.624,8.113,10.2906,991.8767,989.701,270.863103078067,248.555193134209,263.684803785458,242.481408120348,7.17829929260915,6.0737850138612,2.65015766674587,2.44363633576613
"U50 | F18m","MISCAN",31411.1268400905,31393.791073385,31155.5167967565,31155.5167967565,31415.8212609098,31398.3952949948,10.0341454616283,11.7022824830799,968.22332096794,966.650171467991,32.317577415831,32.317577415831,946.958327402869,946.958327402869,10.1847842602174,11.8379074479225,968.102609744618,966.542972695041,260.304464153283,242.878498238297,255.610043333938,238.274276628501,4.6944208193454,4.60422160979579,1.80343461823268,1.89568926158232
"U60 | C3m","CRCSPIN",23440.3014221497,23419.8673817845,23217.8745325838,23217.8745325838,23437.5505549448,23417.598700181,7.21161851065779,9.35401733558868,992.776784852707,990.6345988101,28.8593473732075,28.8593473732075,971.140652626793,971.140652626793,7.43099708626525,9.549351508632,992.557619059423,990.440541330998,219.676022361058,199.724167597247,222.426889565966,201.99284920076,-2.75086720490799,-2.26868160351296,-1.25223826221083,-1.1359074020966
"U60 | C3m","MISCAN",23139.0276324715,23123.6080224758,22950.2185141631,22950.2185141631,23144.1433678826,23128.6352317399,8.26861525015901,9.87601295315651,970.660399965656,969.152850578651,27.0918916332878,27.0918916332878,952.78776498248,952.78776498248,7.97163325361131,9.58479759731847,970.947877683997,969.433493759854,193.924853719545,178.416717576842,188.809118308403,173.389508312728,5.11573541114194,5.02720926411348,2.63799885008052,2.8176783725148
"U60 | C9m","CRCSPIN",23435.393270574,23415.6925661029,23217.8745325838,23217.8745325838,23437.5505549448,23417.598700181,7.41642149710026,9.50605030578416,992.571556301618,990.482565839905,28.8593473732075,28.8593473732075,971.140652626793,971.140652626793,7.43099708626525,9.549351508632,992.557619059423,990.440541330998,219.676022361058,199.724167597247,217.518737990231,197.818033519128,2.15728437082726,1.90613407811907,0.98202996742246,0.954383288237241
"U60 | C9m","MISCAN",23135.7506608463,23120.8435234004,22950.2185141631,22950.2185141631,23144.1433678826,23128.6352317399,8.37091972793416,9.94329042810259,970.554464640027,969.073826242999,27.0918916332878,27.0918916332878,952.78776498248,952.78776498248,7.97163325361131,9.58479759731847,970.947877683997,969.433493759854,193.924853719545,178.416717576842,185.532146683257,170.625009237294,8.3927070362879,7.79170833954777,4.32781403482478,4.36714027999758
"U60 | C18m","CRCSPIN",23428.0945750427,23408.8646112172,23217.8745325838,23217.8745325838,23437.5505549448,23417.598700181,7.78198152900484,9.86405656520177,992.207698528302,990.126261839076,28.8593473732075,28.8593473732075,971.140652626793,971.140652626793,7.43099708626525,9.549351508632,992.557619059423,990.440541330998,219.676022361058,199.724167597247,210.220042458925,190.990078633418,9.45597990213355,8.73408896382898,4.30451161692638,4.37307566175049
"U60 | C18m","MISCAN",23130.5286291179,23115.9367407951,22950.2185141631,22950.2185141631,23144.1433678826,23128.6352317399,8.56709230170552,10.1597530340005,970.353806901259,968.863023488168,27.0918916332878,27.0918916332878,952.78776498248,952.78776498248,7.97163325361131,9.58479759731847,970.947877683997,969.433493759854,193.924853719545,178.416717576842,180.31011495478,165.718226631976,13.6147387647652,12.6984909448656,7.02062603303797,7.11732124507703
"U60 | C@65","CRCSPIN",23392.6621824849,23376.7415497269,23217.8745325838,23217.8745325838,23437.5505549448,23417.598700181,9.66095583734791,11.535887281543,990.327447526017,988.453048037631,28.8593473732075,28.8593473732075,971.140652626793,971.140652626793,7.43099708626525,9.549351508632,992.557619059423,990.440541330998,219.676022361058,199.724167597247,174.787649901158,158.867017143119,44.8883724599,40.8571504541287,20.4338971442781,20.4567884526218
