"scenario","model","LY_High","LY_Low","LY_no_screening_High","LY_no_screening_Low","LY_no_pandemic_High","LY_no_pandemic_Low","n_crc_dth_High","n_crc_dth_Low","n_oc_dth_High","n_oc_dth_Low","n_crc_dth_no_screening_High","n_crc_dth_no_screening_Low","n_oc_dth_no_screening_High","n_oc_dth_no_screening_Low","n_crc_dth_no_pandemic_High","n_crc_dth_no_pandemic_Low","n_oc_dth_no_pandemic_High","n_oc_dth_no_pandemic_Low","LYG_no_pandemic_High","LYG_no_pandemic_Low","LYG_screening_High","LYG_screening_Low","LY_lost_pandemic_High","LY_lost_pandemic_Low","perc_LYG_loss_High","perc_LYG_loss_Low"
"U70 | C3m","MISCAN",15550.329037716,15541.0435196961,15444.1705479427,15444.1705479427,15559.0473390276,15549.5793056916,9.72330196611306,11.0662880269953,966.404017695529,965.166222864502,23.3881668520616,23.3881668520616,953.584217463792,953.584217463792,8.94942118007739,10.2943574839233,967.152301542667,965.906705739785,114.876791084858,105.40875774887,106.158489773294,96.8729717534188,8.71830131156457,8.53578599545108,7.58926257360763,8.09779583569999
"U70 | C9m","CRCSPIN",15843.4048095014,15831.1946700617,15725.1336924004,15725.1336924004,15851.3993274597,15837.465210458,10.147240704539,11.9312229770415,989.844389486744,988.061498928422,25.370709745223,25.370709745223,974.629290254777,974.629290254777,9.62006405693605,11.5092147954928,990.372051340649,988.482900602093,126.265635059353,112.331518057603,118.271117101071,106.060977661336,7.99451795828281,6.27054039626637,6.33150734522885,5.58217364520159
"U70 | C9m","MISCAN",15545.5285787751,15536.9710930234,15444.1705479427,15444.1705479427,15559.0473390276,15549.5793056916,10.057402963833,11.3338369835787,966.065650541326,964.891360496805,23.3881668520616,23.3881668520616,953.584217463792,953.584217463792,8.94942118007739,10.2943574839233,967.152301542667,965.906705739785,114.876791084858,105.40875774887,101.358030832374,92.800545080725,13.5187602524838,12.6082126681449,11.7680517751385,11.961257240298
"U70 | C18m","CRCSPIN",15836.0288905768,15824.0890285359,15725.1336924004,15725.1336924004,15851.3993274597,15837.465210458,10.733855124191,12.4705297822054,989.258502876546,987.522919932712,25.370709745223,25.370709745223,974.629290254777,974.629290254777,9.62006405693605,11.5092147954928,990.372051340649,988.482900602093,126.265635059353,112.331518057603,110.895198176482,98.9553361355447,15.3704368828712,13.3761819220581,12.1730959303741,11.9077727723744
"U70 | C18m","MISCAN",15538.858090912,15530.8261831697,15444.1705479427,15444.1705479427,15559.0473390276,15549.5793056916,10.5943292297784,11.8027485261648,965.548348595203,964.435369313853,23.3881668520616,23.3881668520616,953.584217463792,953.584217463792,8.94942118007739,10.2943574839233,967.152301542667,965.906705739785,114.876791084858,105.40875774887,94.6875429693355,86.6556352270491,20.1892481155228,18.7531225218208,17.5746971384404,17.7908581054518
"U70 | C@75","CRCSPIN",15802.6539578692,15794.8051180511,15725.1336924004,15725.1336924004,15851.3993274597,15837.465210458,13.6436373199339,14.9405937663605,986.348841982378,985.053098551708,25.370709745223,25.370709745223,974.629290254777,974.629290254777,9.62006405693605,11.5092147954928,990.372051340649,988.482900602093,126.265635059353,112.331518057603,77.5202654688783,69.6714256507184,48.7453695904751,42.6600924068844,38.6054127614069,37.9769570860856
"U70 | C@75","MISCAN",15509.1362909012,15504.4099222755,15444.1705479427,15444.1705479427,15559.0473390276,15549.5793056916,13.3041918278482,14.1157366811204,962.912229559199,962.17625662077,23.3881668520616,23.3881668520616,953.584217463792,953.584217463792,8.94942118007739,10.2943574839233,967.152301542667,965.906705739785,114.876791084858,105.40875774887,64.9657429584695,60.2393743328084,49.9110481263888,45.1693834160615,43.4474602354796,42.8516419135446
"U70 | F3m","CRCSPIN",15816.7383358453,15809.3705605849,15725.1336924004,15725.1336924004,15818.763554966,15810.3553803565,14.2142399316053,15.2900636056942,985.780544100644,984.705326934433,25.370709745223,25.370709745223,974.629290254777,974.629290254777,14.0861454677607,15.2518536093769,985.909730278668,984.74353693075,93.6298625656163,85.2216879561875,91.6046434449254,84.2368681845564,2.02521912069096,0.98481977163101,2.16300554673107,1.15559758935696
"U70 | F3m","MISCAN",15527.3969793174,15523.2950439207,15444.1705479427,15444.1705479427,15534.3273206977,15529.9495820873,12.9386431623385,13.5326140349722,963.439160829955,962.88126945215,23.3881668520616,23.3881668520616,953.584217463792,953.584217463792,12.335896196368,12.9632649797553,964.020089452769,963.43672302625,90.15677275501,85.7790341446107,83.2264313747364,79.1244959779906,6.9303413802736,6.65453816662011,7.68698919503913,7.75776765614025
"U70 | F9m","CRCSPIN",15813.5181091267,15806.0437552983,15725.1336924004,15725.1336924004,15818.763554966,15810.3553803565,14.4066242305235,15.4930011416904,985.588281103301,984.502510700012,25.370709745223,25.370709745223,974.629290254777,974.629290254777,14.0861454677607,15.2518536093769,985.909730278668,984.74353693075,93.6298625656163,85.2216879561875,88.3844167263687,80.9100628979559,5.24544583924762,4.31162505823158,5.60232141275609,5.05930492769422
"U70 | F9m","MISCAN",15524.0932731976,15519.7200479979,15444.1705479427,15444.1705479427,15534.3273206977,15529.9495820873,13.1314734353749,13.7356830835682,963.242186290621,962.689901861336,23.3881668520616,23.3881668520616,953.584217463792,953.584217463792,12.335896196368,12.9632649797553,964.020089452769,963.43672302625,90.15677275501,85.7790341446107,79.9227252548899,75.5495000552164,10.2340475001201,10.2295340893943,11.3513906802431,11.925447973859
"U70 | F18m","CRCSPIN",15807.9438654049,15801.1414129379,15725.1336924004,15725.1336924004,15818.763554966,15810.3553803565,14.7986709228964,15.8026840642238,985.196477014079,984.192706475903,25.370709745223,25.370709745223,974.629290254777,974.629290254777,14.0861454677607,15.2518536093769,985.909730278668,984.74353693075,93.6298625656163,85.2216879561875,82.8101730045964,76.0077205375292,10.8196895610199,9.21396741865829,11.5558105763932,10.8117635775945
"U70 | F18m","MISCAN",15518.7305959845,15515.3216788276,15444.1705479427,15444.1705479427,15534.3273206977,15529.9495820873,13.4915370425492,14.0162742899714,962.889679874931,962.398340538262,23.3881668520616,23.3881668520616,953.584217463792,953.584217463792,12.335896196368,12.9632649797553,964.020089452769,963.43672302625,90.15677275501,85.7790341446107,74.5600480417961,71.1511308849513,15.5967247132139,14.6279032596594,17.2995596854338,17.0530053241203
"C70 | C3m","CRCSPIN",15905.0889667819,15889.4894208316,15621.1150306855,15629.2283273535,15905.1528824142,15889.1465417859,5.34859752800733,7.30327061187391,994.648269493064,992.69142467005,25.2028874979801,25.2159773768241,968.182309489877,968.685164138225,5.378722325403,7.31207162140999,994.610914744293,992.660560855786,284.037851728637,259.918214432431,283.973936096407,260.261093478144,0.0639156322304189,-0.342879045712834,0.0225025051560671,-0.131918052169433
"C70 | C3m","MISCAN",15596.3970438841,15583.7501084798,15365.9781336657,15373.0066640185,15597.007672862,15585.1795645009,5.82147100833946,7.35384400353114,970.17761895857,968.746253981396,23.2697547155213,23.2803985011558,948.756308321734,949.190277604548,5.75913665218909,7.25289866009616,970.224066543017,968.852537780493,231.029539196301,212.172900482448,230.418910218388,210.74344446137,0.610628977912711,1.42945602107829,0.264307750444792,0.67372224154354
"C70 | C9m","CRCSPIN",15905.142467461,15889.8596006928,15620.9625633058,15629.3055835229,15904.9976427287,15889.2250827459,5.33288058213072,7.25351445337865,994.663624975479,992.742748113139,25.2026415092521,25.2161020208423,968.172859702235,968.689952404387,5.37866982724923,7.31210776539817,994.601207004501,992.665467633705,284.035079422893,259.919499223031,284.17990415512,260.55401716993,-0.144824732227789,-0.634517946898995,-0.0509883259920031,-0.244120948522807
"C70 | C9m","MISCAN",15596.1666556509,15583.3468749992,15366.1533027156,15373.0178551331,15597.185475602,15585.1909100715,5.83220952343993,7.36768082029799,970.161634585533,968.721480189826,23.2700199860292,23.2804154486284,948.767123952189,949.190968588261,5.75920230518473,7.25290394000154,970.235126901583,968.853243077777,231.032172886426,212.173054938332,230.013352935324,210.329019866109,1.01881995110125,1.84403507222305,0.440986178839299,0.869118405614237
"C70 | C18m","CRCSPIN",15904.6644604509,15888.8801181754,15620.9437403789,15629.3677658725,15904.9784775456,15889.2882992045,5.36191414237691,7.3141864256117,994.633145445024,992.680629371835,25.2026111406063,25.2162023449715,968.171693074578,968.693806409097,5.37866334606674,7.31213685716039,994.600008531249,992.669417026778,284.03473716667,259.920533332001,283.720720071928,259.512352302903,0.314017094742667,0.40818102909725,0.110555877029366,0.157040701580846
"C70 | C18m","MISCAN",15595.207249432,15582.6135661096,15365.9930415145,15372.8574507132,15597.0228048523,15585.0282918054,5.84282073664727,7.3932040177798,970.152486476221,968.697298427937,23.2697772914992,23.2801725372123,948.757228791321,949.181064584495,5.7591422396198,7.25282826209233,970.225007840311,968.843133914831,231.029763337809,212.170841092218,229.214207917545,209.756115396394,1.81555542026399,2.41472569582402,0.785853473610372,1.13810440840666
"C70 | C@75","CRCSPIN",15905.2071892583,15889.2159179339,15621.2675010415,15629.243401668,15905.30812513,15889.1618667903,5.38612534689043,7.31883013974932,994.608693137384,992.677553003528,25.2031334915102,25.2160016975114,968.19175946199,968.686098430344,5.37877482458159,7.31207867386742,994.62062267359,992.661518272059,284.0406240885,259.918465122282,283.93968821682,259.97251626592,0.100935871680122,-0.05405114363748,0.0355357167672862,-0.0207954227538435
"C70 | C@75","MISCAN",15591.5976937872,15577.7657609276,15365.8924140967,15373.0290462641,15596.9206644878,15585.2022556585,6.0611940479511,7.69066322157826,969.930510920579,968.406852063413,23.269624904498,23.2804323961256,948.751015656265,949.191659572981,5.75910452467287,7.2529092199146,970.218654119017,968.853948376088,231.0282503911,212.173209394434,225.705279690515,204.736714663495,5.32297070058485,7.43649473093865,2.30403454624002,3.50491692714798
"C70 | F3m","CRCSPIN",15900.4518548003,15884.625475567,15621.0115031281,15629.3828404561,15905.047472421,15889.3036244824,6.10420749051738,8.03214594484654,993.892900548099,991.965201669894,25.2027204680736,25.2162266660928,968.175892947302,968.694740717887,5.37868667839678,7.31214390974367,994.604323048474,992.670374460134,284.035969292905,259.92078402633,279.440351672203,255.242635110988,4.59561762070189,4.67814891534181,1.61797029867114,1.79983641280026
"C70 | F3m","MISCAN",15590.9413928005,15578.879232645,15365.9911780318,15372.9693604206,15597.0209133519,15585.1417460517,6.62430433162294,8.06796419943257,969.441222957448,968.096617077387,23.2697744694996,23.2803420097587,948.757113732525,949.187974332767,5.75914154119037,7.25288106046708,970.22489017805,968.850186796963,231.029735320099,212.172385631142,224.950214768718,205.909872224376,6.07952055138048,6.26251340676572,2.63148834194747,2.95161568181309
"C70 | F9m","CRCSPIN",15900.9899635703,15885.706841204,15620.9682101928,15629.3922620855,15905.0033922927,15889.313202796,6.04767698423247,7.91580745407513,993.94979255657,992.081299032988,25.2026506198601,25.2162418668174,968.173209691081,968.695324661796,5.37867177160702,7.31214831761513,994.60156654704,992.670972856919,284.035182099913,259.920940710526,280.021753377589,256.314579118505,4.01342872232453,3.60636159202113,1.41300408373803,1.38748404886605
"C70 | F9m","MISCAN",15590.4674623576,15578.1540848885,15366.1756650094,15373.3237519101,15597.2081741159,15585.5010287295,6.62050307625215,8.06548090649818,969.444130477914,968.091392363473,23.2700538507847,23.2808786891006,948.76850468872,949.209855866004,5.75921068652595,7.25304826039194,970.236538880402,968.872521601172,231.032509106513,212.177276819437,224.291797348156,204.830332978479,6.74071175835707,7.34694384095746,2.91764643184885,3.46264404515368
"C70 | F18m","CRCSPIN",15900.8264417438,15884.7867390084,15621.2147949028,15629.3074678292,15905.2544606386,15889.2269983888,6.04102445209271,7.93059368173532,993.954637549378,992.065186634792,25.2030484561666,25.2161050609557,968.188492784101,968.690069191958,5.37875667660149,7.31210864696332,994.617266824746,992.665587311822,284.039665735756,259.919530559551,279.611646840962,255.47927117918,4.42801889479415,4.44025938037157,1.55894384797424,1.70832079098198
"C70 | F18m","MISCAN",15590.173815791,15578.1507432699,15365.9613623704,15372.8630461599,15596.9906494081,15585.0339644785,6.60573671912813,8.05541168147528,969.456562642382,968.097687002232,23.2697293175984,23.280181010781,948.755272795582,949.18141006952,5.75913036634249,7.25283090199281,970.223007585743,968.843486556499,231.029287037636,212.170918318627,224.212453420581,205.287697110021,6.81683361705473,6.88322120860539,2.95063613122964,3.24418693341778
"C70 | U","CRCSPIN",15867.3132832518,15849.6191389686,15621.0416200942,15629.2207902071,15905.0781370021,15889.1388792948,11.1778137934774,13.1711263852089,988.822186206522,986.828873614791,25.2027690583635,25.2159652164981,968.177759569097,968.684696992841,5.37869704838622,7.31206809518637,994.606240623701,992.660082148342,284.036516907996,259.918089087689,246.271663157642,220.398348761457,37.7648537503537,39.5197403262318,13.2957741354737,15.2046902410471
"C70 | U","MISCAN",15515.4109445787,15505.3712061781,15371.7179296293,15378.2682843273,15602.8337674266,15590.5138038665,16.2019465531936,17.2778782182486,960.458340789358,959.433633877978,23.2784468822696,23.2883665337098,949.110706042564,949.515150867845,5.76128791578079,7.25538106316292,970.586483314175,969.184140719365,231.115837797342,212.245519539118,143.693014949455,127.102921850785,87.4228228478878,85.1425976883329,37.8264093370121,40.1151448912639
"F70 | F3m","CRCSPIN",15887.9309477936,15871.4071562923,15631.1486522333,15637.7801321668,15888.4095188385,15871.8645449359,7.55906685296553,9.60003821486865,992.437557002582,990.397307974809,25.2190756020027,25.2297747385484,968.804184104051,969.21519711719,7.52759636360304,9.55974854905936,992.468906915357,990.455571174168,257.260866605222,234.084412769094,256.782295560291,233.627024125482,0.478571044930504,0.457388643611921,0.186025589995735,0.195394745938551
"F70 | F3m","MISCAN",15588.2465685286,15577.4219852082,15366.9621137357,15371.609767831,15588.4945020973,15577.4243724336,7.24240618260576,8.56319665823631,968.892072915007,967.644983223608,23.2712448240373,23.2782830854392,948.817063145835,949.104027705038,7.2368272643192,8.56307534072327,968.905292525729,967.65226227439,221.532388361602,205.814604602567,221.284454792938,205.812217377206,0.247933568663939,0.00238722536050773,0.111917526144865,0.0011598911384921
"F70 | F9m","CRCSPIN",15887.9357935357,15871.5471543035,15631.3371295624,15638.097045407,15888.6010981687,15872.1862021007,7.58255013876121,9.58032878722391,992.413832519994,990.416172937365,25.2193796886772,25.2302860419173,968.815865755161,969.234839107679,7.5276871298857,9.55994228569354,992.48087391106,990.475643619345,257.263968606369,234.089156693688,256.598663973371,233.450108896477,0.665304632997504,0.639047797210878,0.258607778073837,0.272993335631983
"F70 | F9m","MISCAN",15587.8243525248,15577.7267501345,15367.0161617465,15371.7067404072,15588.5493292722,15577.5226434015,7.21938821609458,8.49227948674118,968.904698035741,967.710776253791,23.2713266726474,23.278429937663,948.820400283944,949.110015175703,7.23685271737331,8.56312936131629,968.908700317284,967.65836675753,221.533167525678,205.815902994391,220.808190778325,206.020009727301,0.724976747353139,-0.204106732910077,0.32725426871762,-0.0991695636442824
"F70 | F18m","CRCSPIN",15887.8119391961,15871.2663815362,15631.633048139,15637.9480191287,15888.901887038,15872.0349450243,7.5451932040447,9.56853647303374,992.451792287852,990.4292922043,25.2198571195507,25.2300456050137,968.834206515751,969.225602596323,7.52782963736553,9.55985118236963,992.499662676543,990.466204689623,257.268838899085,234.086925895679,256.178891057119,233.318362407497,1.08994784196511,0.768563488181826,0.423661041356296,0.328323969927452
"F70 | F18m","MISCAN",15588.1013430915,15577.421059774,15366.8614736252,15371.6806322855,15588.3924111442,15577.4961857113,7.12022975290405,8.42517616900578,968.998154117821,967.773673856986,23.2710924178146,23.2783904003436,948.810849227082,949.108403156939,7.23677986945417,8.56311481724342,968.89894704671,967.656723235262,221.53093751895,205.815553425751,221.239869466299,205.740427488496,0.291068052651099,0.0751259372555069,0.131389347199508,0.0365015840664388
"F70 | U","CRCSPIN",15855.3558206713,15838.7277356436,15631.1920016165,15638.0027246477,15888.4535816754,15872.090469439,12.5507312327145,14.4071381758582,987.449268767285,985.592861824142,25.2191455412885,25.2301338661295,968.806870858861,969.228993193965,7.52761723965423,9.55988462516024,992.471659298814,990.469669592293,257.261580058861,234.087744791266,224.163819054847,200.725010995857,33.0977610040136,33.3627337954094,12.8654115381088,14.2522342744421
"F70 | U","MISCAN",15558.9345517725,15548.365081983,15366.8018356633,15371.5500930077,15588.3319134326,15577.3638986081,11.515494920084,12.721426348727,964.929951347489,963.792928793569,23.2710021039579,23.2781927157608,948.807166943265,949.100343145253,7.23675178390115,8.56304209762019,968.895186802066,967.648505707664,221.530077769314,205.813805600357,192.132716109276,176.814988975313,29.3973616600379,28.9988166250441,13.2701446034115,14.0898306313587
